seed,model,n_go_selected,D,n_train,n_test,cv_auroc_mean,cv_auroc_std,cv_auroc_se,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,test_f1,test_precision,test_recall
15,Random Forest,82,88,1293,324,0.9341409792607424,0.012583347597074012,0.0025166695194148024,0.8554662267121712,0.03499651953631884,0.9332990397805212,0.8367423891136373,0.7931034482758621,0.7419354838709677,0.8518518518518519
15,Logistic Regression,82,88,1293,324,0.9038899535342231,0.01565585214773237,0.003131170429546474,0.8446366126610065,0.028326927205784034,0.8949331275720165,0.7856652601220432,0.7574468085106383,0.7007874015748031,0.8240740740740741
16,XGBoost,85,91,1293,324,0.9416457378247293,0.015518745903871414,0.003103749180774283,0.8782226203710565,0.030330648985750684,0.9618484224965707,0.913074273479337,0.8421052631578947,0.8,0.8888888888888888
16,Random Forest,85,91,1293,324,0.9328927530657528,0.015792404280030224,0.0031584808560060447,0.857263565829376,0.035122148387288506,0.9523319615912209,0.90457614268718,0.8303571428571429,0.8017241379310345,0.8611111111111112
16,Logistic Regression,85,91,1293,324,0.9050369227769626,0.02223545850374824,0.004447091700749648,0.8264459212070459,0.038975788795649335,0.9329561042524004,0.8887486948640689,0.8198198198198198,0.7982456140350878,0.8425925925925926
17,XGBoost,152,158,1293,324,0.9555985493921352,0.013007012869784023,0.0026014025739568044,0.9064428107428693,0.0328243647686602,0.954303840877915,0.9079960865730601,0.8545454545454545,0.8392857142857143,0.8703703703703703
17,Random Forest,152,158,1293,324,0.939199297833553,0.01678028045953989,0.0033560560919079782,0.8702205418524247,0.045883167227723655,0.9446587791495199,0.8610288836128117,0.8165137614678899,0.8090909090909091,0.8240740740740741
17,Logistic Regression,152,158,1293,324,0.8945542749747307,0.027139862472211063,0.0054279724944422125,0.8178681835265715,0.05032165210607995,0.9317129629629629,0.8777545911336823,0.7692307692307693,0.7522123893805309,0.7870370370370371
18,XGBoost,79,85,1293,324,0.9570752601421977,0.012877093292163804,0.002575418658432761,0.9102756176488527,0.02867349341567955,0.9338563100137174,0.8747987660317919,0.8154506437768241,0.76,0.8796296296296297
18,Random Forest,79,85,1293,324,0.9472864929152546,0.013856255380536319,0.002771251076107264,0.8904501741722685,0.031474085852217934,0.928883744855967,0.8520772123725779,0.8205128205128205,0.7619047619047619,0.8888888888888888
18,Logistic Regression,79,85,1293,324,0.9199987985683723,0.018529599312966286,0.003705919862593257,0.8510346505173682,0.03463382093987975,0.8781292866941015,0.7992220514007073,0.7467811158798283,0.696,0.8055555555555556
19,XGBoost,151,157,1293,324,0.9542269853796891,0.01184872598187545,0.00236974519637509,0.9057444336266532,0.02545512180237729,0.9537465706447188,0.9191640191408431,0.8378378378378378,0.8157894736842105,0.8611111111111112
19,Random Forest,151,157,1293,324,0.9421026799848606,0.012520616340852905,0.002504123268170581,0.8679509076051555,0.03478273843190845,0.937457133058985,0.8843904309632538,0.832579185520362,0.8141592920353983,0.8518518518518519
19,Logistic Regression,151,157,1293,324,0.8965734399202797,0.016118074598032384,0.0032236149196064766,0.8178371128531622,0.029574201262800175,0.920224622770919,0.8590648822615252,0.7931034482758621,0.7419354838709677,0.8518518518518519
20,XGBoost,79,85,1293,324,0.9600099750985462,0.009395700191039488,0.0018791400382078976,0.9214095802649293,0.018714928738959156,0.9657493141289437,0.9310305153555465,0.8508771929824561,0.8083333333333333,0.8981481481481481
20,Random Forest,79,85,1293,324,0.9499765922957671,0.008723722274794687,0.0017447444549589374,0.8983677760977664,0.018069040285100577,0.9487740054869684,0.8949623106022688,0.8173913043478261,0.7704918032786885,0.8703703703703703
20,Logistic Regression,79,85,1293,324,0.9154402786070897,0.018923614032994474,0.003784722806598895,0.8519865011628238,0.02922038317976213,0.9350565843621399,0.8872196218693215,0.7851239669421488,0.7089552238805971,0.8796296296296297
