seed,model,n_go_selected,D,n_train,n_test,cv_auroc_mean,cv_auroc_std,cv_auroc_se,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,test_f1,test_precision,test_recall
15,Random Forest,148,154,1293,324,0.9680415647551882,0.010841297449830275,0.004848375612423122,0.9299308491325249,0.019500598762844015,0.9819958847736626,0.9645421712779785,0.8888888888888888,0.8253968253968254,0.9629629629629629
15,Logistic Regression,148,154,1293,324,0.945429580349832,0.016885760067563624,0.007551541472564741,0.9178589668479062,0.0167590217853061,0.9704646776406036,0.9506893523122398,0.8636363636363636,0.8482142857142857,0.8796296296296297
16,XGBoost,143,149,1293,324,0.979683856751117,0.008628377674569893,0.0038587278031759673,0.9544327563310686,0.01960954282276651,0.9905692729766804,0.9815990807036852,0.9203539823008849,0.8813559322033898,0.9629629629629629
16,Random Forest,143,149,1293,324,0.9736798508650901,0.008185948584373874,0.0036608674989956308,0.9393080708593402,0.022967290949151484,0.9793810013717421,0.952896868891957,0.8908296943231441,0.8429752066115702,0.9444444444444444
16,Logistic Regression,143,149,1293,324,0.9516103585649066,0.02391470996095696,0.01069498342697822,0.9213614284834029,0.03655501367220095,0.9639489026063099,0.9390295767307616,0.8245614035087719,0.7833333333333333,0.8703703703703703
17,XGBoost,90,96,1293,324,0.9804936202309659,0.006814150646946134,0.003047380811099145,0.964314301996341,0.010930024126332418,0.9890260631001372,0.979827879640709,0.9292035398230089,0.8898305084745762,0.9722222222222222
17,Random Forest,90,96,1293,324,0.9753624013310576,0.011616199485724192,0.005194922338055478,0.9516675572402125,0.022514091932768602,0.9793381344307269,0.9567021038410903,0.8778280542986425,0.8584070796460177,0.8981481481481481
17,Logistic Regression,90,96,1293,324,0.9569520669564835,0.017542334014625308,0.007845170268141795,0.9237375096535885,0.03216270945077016,0.9721364883401921,0.9488288841273739,0.9041095890410958,0.8918918918918919,0.9166666666666666
18,XGBoost,152,158,1293,324,0.9825442351242838,0.008173667742691668,0.0036553753396311654,0.9663564451570625,0.013228313393912526,0.9825102880658436,0.9703463396038757,0.9124423963133641,0.908256880733945,0.9166666666666666
18,Random Forest,152,158,1293,324,0.9727431734805825,0.013114122686249095,0.005864813958345024,0.9391962698142228,0.03929679660810665,0.9757373113854595,0.9568001921836309,0.8818181818181818,0.8660714285714286,0.8981481481481481
18,Logistic Regression,152,158,1293,324,0.9466496766591209,0.011554532778164112,0.0051673441480448905,0.917377482334253,0.021632965748885687,0.9531464334705075,0.9167029321365,0.8508771929824561,0.8083333333333333,0.8981481481481481
19,XGBoost,147,153,1293,324,0.9810634881604455,0.006890987962117986,0.0030817435030857125,0.9624134037499539,0.01509397226182611,0.9827246227709191,0.9640394726429191,0.8878923766816144,0.8608695652173913,0.9166666666666666
19,Random Forest,147,153,1293,324,0.9769100067881696,0.004352476373706246,0.0019464866084137886,0.9545788250909419,0.010340308345654916,0.9759516460905349,0.9479582429043663,0.8711111111111111,0.8376068376068376,0.9074074074074074
19,Logistic Regression,147,153,1293,324,0.9598509631881134,0.01834467192477154,0.008203986689744215,0.9382462385231906,0.03072830325756065,0.956275720164609,0.9241243710276958,0.8384279475982532,0.7933884297520661,0.8888888888888888
20,XGBoost,37,43,1293,324,0.9758381139963317,0.004344739059432874,0.0019430263762780808,0.9528921130752155,0.016215444317561386,0.9771090534979424,0.9523643483457236,0.8878923766816144,0.8608695652173913,0.9166666666666666
20,Random Forest,37,43,1293,324,0.9741222434312844,0.007042876815144773,0.0031496702631641864,0.945018681410664,0.022761048208079813,0.9613340192043895,0.9162737475849837,0.8727272727272727,0.8571428571428571,0.8888888888888888
20,Logistic Regression,37,43,1293,324,0.9598952752996042,0.008222621558176572,0.003677268151467611,0.9373226408526192,0.015469717540745375,0.9603052126200275,0.9233030253278943,0.8672566371681416,0.8305084745762712,0.9074074074074074
