seed,comparison,n_positive,n_negative,test_auroc,test_auprc,test_f1,test_precision,test_recall,positive_score_median,negative_score_median,negative_score_iqr,positive_size_median,negative_size_median,negative_size_iqr
3,All mixed negatives,108,216,0.5414523319615914,0.3840081062420018,0.39655172413793105,0.3709677419354839,0.42592592592592593,0.4930550456047058,0.49293211102485657,0.465-0.531,16.0,15.0,9.0-28.5
3,empirical size matched random,108,54,0.5368655692729767,0.7147349463291822,0.5227272727272727,0.6764705882352942,0.42592592592592593,0.4930550456047058,0.4930550456047058,0.456-0.543,16.0,16.5,9.0-30.0
3,full replacement shuffled,108,54,0.5257201646090535,0.6798050400855624,0.5227272727272727,0.6764705882352942,0.42592592592592593,0.4930550456047058,0.4930550456047058,0.459-0.545,16.0,18.0,11.0-32.0
3,corrupted pathway,108,54,0.5456104252400549,0.721826068478353,0.5317919075144508,0.7076923076923077,0.42592592592592593,0.4930550456047058,0.49004238843917847,0.468-0.529,16.0,14.5,9.0-31.5
3,cross pathway mixture,108,54,0.5576131687242799,0.726948798825651,0.5443786982248521,0.7540983606557377,0.42592592592592593,0.4930550456047058,0.49293211102485657,0.456-0.525,16.0,11.5,8.2-21.2
4,All mixed negatives,108,216,0.5301783264746228,0.35831892877157895,0.39148936170212767,0.36220472440944884,0.42592592592592593,0.4866275191307068,0.48425981402397156,0.456-0.516,13.5,11.0,7.0-26.0
4,empirical size matched random,108,54,0.44127229080932784,0.6174709735244375,0.5054945054945055,0.6216216216216216,0.42592592592592593,0.4866275191307068,0.5028570890426636,0.457-0.638,13.5,17.0,8.2-39.0
4,full replacement shuffled,108,54,0.5967078189300412,0.7405154790565235,0.5443786982248521,0.7540983606557377,0.42592592592592593,0.4866275191307068,0.4786739647388458,0.455-0.503,13.5,11.0,6.2-26.0
4,corrupted pathway,108,54,0.5054869684499315,0.6799294953498615,0.5227272727272727,0.6764705882352942,0.42592592592592593,0.4866275191307068,0.48425981402397156,0.457-0.516,13.5,12.5,8.0-32.0
4,cross pathway mixture,108,54,0.5772462277091908,0.7609119562085868,0.5411764705882353,0.7419354838709677,0.42592592592592593,0.4866275191307068,0.4786739647388458,0.456-0.503,13.5,9.0,7.0-14.0
5,All mixed negatives,108,216,0.5588991769547325,0.386895661638548,0.4426877470355731,0.38620689655172413,0.5185185185185185,0.5015033483505249,0.48486238718032837,0.440-0.535,14.0,12.0,7.0-23.5
5,empirical size matched random,108,54,0.503343621399177,0.6868209432693257,0.5925925925925926,0.691358024691358,0.5185185185185185,0.5015033483505249,0.49608975648880005,0.442-0.554,14.0,14.0,8.0-39.8
5,full replacement shuffled,108,54,0.5644718792866942,0.723175350563916,0.6021505376344086,0.717948717948718,0.5185185185185185,0.5015033483505249,0.47101354598999023,0.440-0.523,14.0,12.0,8.2-21.0
5,corrupted pathway,108,54,0.545696159122085,0.679042480071765,0.5925925925925926,0.691358024691358,0.5185185185185185,0.5015033483505249,0.4828715920448303,0.438-0.544,14.0,14.0,8.0-39.8
5,cross pathway mixture,108,54,0.622085048010974,0.7843059553228191,0.6187845303867403,0.7671232876712328,0.5185185185185185,0.5015033483505249,0.4534122049808502,0.438-0.502,14.0,8.0,7.0-11.8
6,All mixed negatives,108,216,0.5142532578875172,0.34205966252843706,0.40458015267175573,0.34415584415584416,0.49074074074074076,0.499013215303421,0.47728487849235535,0.458-0.564,15.0,13.0,8.0-29.0
6,empirical size matched random,108,54,0.43244170096021944,0.6333996595819326,0.5549738219895288,0.6385542168674698,0.49074074074074076,0.499013215303421,0.5103050470352173,0.469-0.594,15.0,20.5,11.0-43.0
6,full replacement shuffled,108,54,0.5162894375857339,0.6787558140785206,0.5668449197860963,0.6708860759493671,0.49074074074074076,0.499013215303421,0.4881490468978882,0.458-0.567,15.0,13.0,8.0-29.0
6,corrupted pathway,108,54,0.48576817558299035,0.6517734412203893,0.5608465608465608,0.654320987654321,0.49074074074074076,0.499013215303421,0.5007810592651367,0.467-0.566,15.0,14.0,7.0-40.8
6,cross pathway mixture,108,54,0.6225137174211248,0.7554959270637037,0.5955056179775281,0.7571428571428571,0.49074074074074076,0.499013215303421,0.4726558029651642,0.458-0.501,15.0,9.0,6.0-14.0
7,All mixed negatives,108,216,0.5470464677640604,0.36334931253194797,0.4016393442622951,0.3602941176470588,0.4537037037037037,0.49044865369796753,0.4632335305213928,0.435-0.530,16.5,15.0,8.0-32.0
7,empirical size matched random,108,54,0.5031721536351166,0.6533590845923908,0.5355191256830601,0.6533333333333333,0.4537037037037037,0.49044865369796753,0.4663376808166504,0.436-0.555,16.5,16.0,8.0-32.0
